Run,A1AG2,AFM,AHSG,ANT3,AOC3,APOB,ATRN,BTD,C20orf3,CADM1,CD163,CD44,CDH5,CFH,CFI,CLU,CP,CTSD,DKFZp686N02209,DSG2,ECM1,F11,F5,FCGBP,FETUB,FGG,FHR3,FN1,HP,HRG,HYOU1,ICAM1,IGFBP3,IGHA2,IGHG2,ITIH4,KLKB1,KNG1,LAMP2,LCN2,LGALS3BP,LRG1,LUM,LYVE1,MMRN1,MPO,MRC2,MST1,NCAM1,ORM1,PGCP,PIGR,PLTP,PLXDC2,PON1,PRG4,PROC,PTPRJ,Q5JNX2,SERPINA1,SERPINA3,SERPINA6,SERPINA7,THBS1,TIMP1,VTN,VWF,Condition
Healthy_P2E8,13.8904181284602,16.6855884530318,19.7101104588568,17.3067227324587,8.13236641249395,14.9529673729102,12.9081207316705,15.9494829907849,10.4613432851318,9.31481040296528,11.728060014785,10.4174400016719,9.28285312508451,17.8668145116834,17.4965392004239,19.1488916402017,15.423043787478,10.1348158380956,19.3172772886118,9.83801129726542,12.2991060432703,15.1077448176501,12.8096193219252,13.3785395383009,13.780672096133,11.0849660308021,13.2222683197413,12.6907419787725,20.7781159385873,17.5725318709432,8.40080464240304,9.87367936712223,10.5395318048337,21.4790511053186,21.6213231192346,15.1785126466106,13.5292146522446,17.267275295093,14.1032358931508,10.5324721141279,16.0661954116925,15.4345106331622,14.8544124609752,11.3179397729895,11.1611193914462,10.2687686505817,11.0006139574924,11.6657267072548,10.3753509242452,16.2557791767776,8.97278807029782,7.71466256734129,10.5408135332632,9.8214089980063,14.2996139493613,12.0368635511415,9.65504749144471,10.169344971994,20.9189935658239,15.8520582624899,13.180574565155,15.2226270597991,12.9198708499458,14.6356871658743,12.1076931782389,11.4235060486606,11.2487540402576,Healthy
Healthy_P2E9,13.3712707077124,16.5780286630081,19.8583607360916,16.7745962301862,8.52988498735277,14.9743007120679,11.3754548963795,15.3191919794869,10.7892342729835,8.02186351949642,11.910788811761,10.7829705723457,9.99820981626387,17.7349337123383,17.270057253129,19.0815811628424,13.9095938919065,9.8756245782237,19.3498332653194,11.1018125608653,12.1356746661701,14.8846444486212,12.6858148812338,12.8928103090121,13.5366516936752,10.2752158466661,11.4532756886583,11.8299748706693,19.6702501059274,16.7925097422035,8.57646959698357,8.85082333387906,9.15251725128705,19.97027526993,20.7400246921138,14.1945959761684,13.5796726006259,16.6962197294127,14.1176041238698,9.81365418321092,15.4401147756273,15.9495433734021,14.9149659385151,11.4176311817644,11.2750494294694,12.4897412055314,11.3812854700429,11.359508863611,10.219475521704,15.305517111132,8.16522775050036,6.08019762014723,11.4686796708834,10.1155925756932,13.6387791820412,11.4447245807453,10.8711707759146,10.7987261368625,19.5893663974177,14.7650805341753,13.126676832682,14.9097458904786,12.6870493486458,15.4376456802555,12.3243760085704,10.6720202871545,11.5127409956376,Healthy
Healthy_P2F2,14.655093412178,16.5603246302109,19.9998389146963,17.7781061275547,9.17084835909096,16.1632359525808,14.3248639500368,16.4663382603328,9.86663749084354,9.85192508690952,10.9501798931297,10.4000471047666,10.0256918220712,17.8782516661193,17.4672868122605,19.729414178898,17.2769147204105,10.3684156414179,22.2004453915408,10.5795371569164,12.9879238936577,15.5992965317539,13.1071183081169,12.4544533573799,13.337038586534,12.1532097343942,11.3568895389866,13.0040303869286,21.4754698892928,17.6628828196955,9.19101905826776,10.0065090392364,11.349956789601,21.895291959729,22.7958799120124,15.8335319370256,13.8376875123657,18.3432683869002,14.4177125925799,10.5905376386988,15.8511803320386,14.3429462939542,15.5854284109704,11.6876459852779,10.9870920255465,10.058114958195,10.6211961353726,13.814372624934,10.7762155314108,17.3110908951447,9.31163799658162,9.96096850711351,11.1671292698399,9.56153078237613,15.2335082727111,12.1606523962098,11.4749889422467,10.3748599638124,19.4884510024635,17.2244780010202,13.5358698242355,16.4893595015767,13.2222364863458,13.9059213495575,11.8016827021698,11.9568464708752,10.8002048652704,Healthy
Healthy_P2F3,15.2690497519376,16.7401742025642,19.5877690246667,18.1189518944603,9.47635525960864,16.0023453791906,14.812678851952,16.2865214805553,11.3640453188245,10.0196209551917,11.192167137989,10.4351035569668,9.57176050753546,17.6630705283417,17.6186760478457,19.7188268050097,16.574457556155,10.8314392268993,21.9697336473376,10.9160816275288,12.1178316938276,15.5259205114304,13.1341090687046,13.2583061775434,14.522019895256,11.1737008166861,11.6262691022071,11.9562395882383,20.7449652864595,17.4661076767055,8.47754669760958,10.406261415692,10.2583795545308,19.7529842032279,22.1708220634941,15.7687512737035,15.2296412131426,17.7687076405109,14.5131104409681,10.6796881148375,14.9981111784822,15.7551164108442,15.85746244907,12.1430319044495,11.5393609180215,10.8421942540582,10.7126777109436,12.9442323370227,10.2402230786186,17.9151210232346,8.82958210087829,10.8096243963357,12.5977410619114,9.87993459669055,17.0933536368423,12.6515624447524,11.1847966216169,10.1812722282462,20.2751657723134,17.1499738316049,15.800516351612,17.0141754205958,13.6924756531894,14.957193542406,12.0143286868186,13.933228088682,11.0811931451762,Healthy
Healthy_P2F8,16.4637536532001,15.9872053163638,19.60250330556,17.8153105987664,10.2510613100333,15.8322619804825,15.2792328938298,16.1199361885093,9.78098507431863,10.5321043874638,11.2898218113112,9.94610198306389,9.70261698228249,17.2325219833769,17.0740997981851,19.4808863123436,17.0646581873756,10.540325950867,21.8914636449805,9.40682306065559,11.8829005855385,15.0634319757518,12.3048141762893,12.2153167157729,13.7819493252022,10.9186644781735,11.9058439997414,12.3114028495805,21.4519257493989,17.5540001342136,8.74374997325476,10.1598112003937,11.0466207888728,20.0791477794059,22.7144519548188,16.0293570519727,15.3285257521926,17.8643201329612,13.9789282726237,11.0215636866381,14.2351421912847,15.4872829897714,15.5231650827531,11.5860419152853,12.064087655604,10.048937064722,10.7854907670751,13.0935504633445,10.0267707469089,18.8785924232207,8.19270467809421,9.85693971111997,13.1311988104479,9.65919259383723,17.547555697398,12.6316630081905,10.839736888703,10.5268367225245,19.7334187742609,18.4616139293634,16.4200024296612,16.9824160487068,13.4240521937862,15.113970123388,12.2012226887249,13.6100111140573,10.1755369145377,Healthy
Healthy_P2F9,15.2739828817048,16.3875093385186,19.7248431640387,17.5220363663595,9.66072883533745,15.3255874719603,14.7078501216466,16.0993673757195,10.200561536918,9.55769198872302,11.0661347849549,9.34405413951827,9.82032032570085,17.0983557378892,16.7610145785267,19.1904350796575,17.1213175104182,10.066055896349,22.5418999661266,9.48827285180719,12.6201374802596,15.5067837821904,12.1921137840268,12.8827391520269,13.7310578316793,12.7198924658402,10.5820137693899,12.6207194163427,20.8310904774752,17.5460986717607,8.15039837380923,9.6589068377308,11.634486223834,22.5990592486905,23.2587322130594,16.0388767087131,14.1662204931525,17.8764413925756,14.3800464674405,10.9358168260867,13.9423238905624,14.4863216792654,15.2472447564261,11.445391935248,11.6239534063051,10.418110922205,10.434482279803,13.6690290075059,10.5014278836332,17.489101884092,7.65808683050402,9.18974143998534,11.6243083245585,9.43786907842725,16.1864839465265,11.7893185927677,11.7358134093632,9.71269890950698,19.2029295483199,18.5252676967388,14.3807157290202,16.20813709163,13.1407538512545,15.551942578693,12.0133093255096,12.346475469118,10.642003150471,Healthy
Healthy_P2G1,15.3287687702873,16.0868143484301,19.6794100905599,17.8472836894565,9.81182031805766,16.30700462607,14.6809438049166,16.0606905117023,10.4127399484554,10.2600645056859,11.5195263944645,10.4441018414311,10.0516349874223,17.1668821244187,16.5656052387147,19.6187029649576,17.5261123610951,10.7675096548432,21.5468038172492,10.1642098008201,12.1848994275515,15.2514431179998,12.3327272346879,12.7631437073331,13.350162145479,12.9373653834022,11.3471292385939,13.4129970245676,20.9880798013835,17.1767055460063,9.156614674792,10.5118419518712,10.6676060095632,20.9389206885701,23.0684747617381,16.3126606094822,14.6776911777475,18.054045964326,14.2544044302336,10.711582784318,15.1811879648937,15.0491307589649,15.4877113962229,12.0568139280127,11.7044310247924,10.6060877450488,10.3141009590747,13.5679845575814,10.9484669925148,17.3136676375688,8.65576871004911,9.55102571644669,12.2850018177356,9.79633077376181,16.597472470883,12.6270511588947,11.8495226545204,10.7740531271711,19.3521561112573,18.6242496756741,15.3320017475202,16.6738991923882,13.3396085284655,15.9141825664371,12.7979892968638,13.0753838273798,10.9549993702502,Healthy
Healthy_P2G10,14.7915284364945,15.9011944531352,19.4039862451071,17.2928364973084,9.9975741190862,15.8642772621078,14.7177323535237,15.6485480251731,10.9023488567573,10.071439992351,11.592373161947,9.90409906949447,9.5295326362671,17.2494505390639,17.2523698003068,19.3717506232443,17.5226585632004,10.4228449849822,22.9715933552844,10.11665339606,11.3699258627331,14.9275042547683,12.6590177834319,12.4298298585642,13.6668052745805,11.6623361484408,11.2816315558133,12.3754860142237,21.3326057145154,17.3669396220124,8.99172306048243,8.71794061616153,10.7708378239866,21.1543563297149,23.0369250313621,16.2697369993116,13.9944553922805,17.8760247457382,14.355768652421,10.6023352223109,13.805423982355,14.5955039143559,15.0177499905012,11.6249617335197,11.7335830753218,10.6354773822783,10.6242993968306,14.1315695439121,10.0207013678823,17.3967402589511,8.57187772224504,8.69891229190581,11.6904048330743,9.44579552740331,16.207756572402,12.4029434263493,11.3603185106677,10.1519677630022,19.3443928072476,18.6629416972513,14.4831876564012,16.5094245844141,13.4816624760488,15.1197110183899,12.0986578564592,12.6170649692642,11.1305503185945,Healthy
Healthy_P2G5,15.3646148892583,16.5827259798492,19.432382315391,17.7105250076682,9.53608293590837,16.2441445207047,14.9327645996612,15.9843810496462,10.132999108784,10.5089879957759,11.3887576764104,9.74538974056191,10.2601278920638,17.4914465239426,16.9599772271274,19.6342408484057,17.2470074939466,12.0915503990552,21.4366413426941,9.91317123439863,12.3029681803524,15.4115984512093,12.5866055561455,13.0438628032834,13.0220995869003,11.5451722129341,10.9518901503834,13.0466948994674,21.0306489624353,18.0561148438737,8.71326639540753,10.2425075510676,11.1449244129472,19.5882072202677,22.0054952126201,16.1222221640746,14.3612644077665,17.9690967931471,14.4549983733114,10.2603492877694,15.445383967182,14.4765573911331,15.518180550124,12.5518746066614,11.8181733211299,10.1311209802014,10.0910019995998,13.4597031342185,10.455468023447,17.797670842533,9.17351278435803,9.26905214844507,11.812741049613,9.76771543425929,16.7175142619393,13.4889415269599,10.9867233801042,9.91772242999549,19.5374043780691,18.3278011331149,14.7443880788042,16.3376388646856,13.1578919047677,14.6085955380658,12.5440556058608,12.7559384098536,10.7515349012492,Healthy
Healthy_P2G8,15.4298271604334,16.0898066010238,19.1331940480057,17.2942507507141,10.0557296647484,15.2399256677084,14.939821421702,15.891488126318,10.0233069455722,10.4895837529298,12.371687802137,10.2894063887484,10.1485298478173,17.1257989423332,16.9769131896477,19.3279267712778,17.7502151526684,11.2944452212519,22.0706611496997,10.0001034521395,11.817442834252,15.0286115005052,12.3244428241165,12.5057664604052,13.0069972965885,12.0042172577027,10.3936188066455,12.5473541331475,20.7684011041242,16.9250902997436,9.26161738778154,10.3912230830025,10.9299482508931,20.805050301044,23.6166167911331,16.1872135432274,13.7487043060184,17.9701225978877,14.2281919624943,11.0006896923891,14.1857976826506,14.762025899984,15.1897281884351,12.3034058623817,12.2897072415589,10.1399962885431,10.7740876862817,13.5765715209198,10.3937831200261,18.1928131209917,8.69688481674,10.1089921586734,11.7422201206596,9.32558750171385,16.2716359270285,11.4381245340546,11.645161354764,10.6127999109965,19.4847207651662,18.512466331181,14.5831339208143,16.5016504482019,13.4137639078423,14.7459323497359,12.6469813011955,11.9853099769515,10.911789283192,Healthy
Healthy_P2H3,14.5243179881398,16.0695820685013,19.1909181744798,17.0026322122513,9.29984186886813,15.0337833459825,14.2808493258575,15.6216989662244,10.771933395802,9.74675060127795,11.6731459203141,9.89510558243181,9.39587429243611,16.9216270814863,16.5854973019194,19.1197786696339,16.6587690571334,9.96563546498392,21.4818613587871,9.95926341751446,11.0226813489479,14.8502492547893,12.4635007145475,13.1292441093183,12.9866708750512,10.8315532453054,10.8302480005208,11.6826582465594,20.4211741330626,16.60249232239,8.43566905415477,9.34318133585685,10.0808885761098,21.3080654771296,22.0117719591438,15.8786025445742,13.4943098345857,17.5655973652832,13.6769019235852,10.9249035389842,14.6372980680828,14.7030002421334,15.0363148330919,11.3972810939788,12.254613199464,10.4738953039293,10.4676653821611,13.0758165031074,10.3064661981362,17.4582770252102,9.18501530411578,8.83175539296546,11.7420933160048,9.53787916113267,15.4847603483255,11.6105064561956,11.2510433272238,10.5941533553619,19.6160791964337,18.0013499164332,14.0877742153634,15.6049571881078,12.9550160131981,14.6306812079739,12.7214144945522,11.9244198761637,10.8888107185877,Healthy
Healthy_P2H7,14.5634046665402,16.0280397307743,19.0566532576988,17.1648148923914,9.33286848121797,15.9295751281241,13.9903901321906,15.5380864028167,11.1572888165968,10.3003428720044,11.3671869770618,9.79851047884409,9.78320158212094,17.0789709803081,16.9339453062848,19.548055910975,16.9175466899182,10.156431201984,20.6969164382799,10.5268188028576,11.1701525736465,15.2427868063221,12.8999576076788,12.4610266912904,13.7122952767101,11.122841453423,12.8586775388323,11.81659473239,20.8622618387893,16.914735114945,9.3932985380898,10.3914795869076,10.8266552713781,20.3411798345548,22.3338049570309,15.9052571706789,13.8383128510111,17.7970138510278,13.9390773107843,10.6227661524957,14.8708786752912,14.9920479690788,15.1133413073138,12.3682314329144,12.4211663141644,10.1227303122964,10.7413815629253,13.0328340185701,10.6908092343461,17.616432000121,8.58325537826624,8.59816080382616,11.2576544004119,9.46185662648919,15.255012235635,11.9504398857526,10.713055751629,10.0111688482995,20.4132007157364,17.2862209293969,13.6540963840079,15.9590917813904,13.1138102966812,14.4645979812731,12.6711868197,11.3023228449295,10.8431866806574,Healthy
Healthy_P3A10,14.2058065604983,15.9584817674948,19.1684331540165,16.6282129209732,9.36150267005395,15.5253432166747,14.1413779324349,15.6028621867385,8.42882563278786,9.10592927435878,10.485949954791,8.7838744297467,9.2640838272641,16.3360861070456,16.3138504280982,18.3362596181196,16.0215353915066,9.76674997010649,21.9185361967255,9.42173703783351,9.69966844483311,14.6016012013208,11.9244237680338,11.6583191146605,12.9662623763393,8.86877966913696,10.2791224882309,10.6551140106983,19.1586525143055,17.002599979046,8.28424577947322,9.14274330244182,10.3804619645229,20.8401883780906,22.4947507546535,14.1632745707949,13.5284742125099,17.3094468027643,14.0491330843909,8.43290289707275,13.9327176053057,13.3937756944658,14.2112699074764,11.4234039075895,10.4218642421842,8.43473997370418,9.60090523627806,13.2861003580939,9.74966244572198,16.7502249458383,7.84533701813051,10.368511675226,11.6837923007937,8.89934113379786,15.3542230184151,11.8768196032668,10.1708355769794,10.2749633252919,19.170891873839,17.4473944971599,13.6504447238944,15.8653565071903,12.50749029179,12.5387420027434,11.1669115324856,11.0835258976375,9.32462821929444,Healthy
Healthy_P3A2,15.0602794631492,16.6850045708118,19.4054873051508,16.9873953373176,9.73196241893689,15.1148814878602,13.9410396892625,15.123673176092,10.1834863216546,9.8945499659004,11.2239700432345,10.1272257323605,9.58804269302896,17.477226159529,16.8242674783531,19.324842255215,16.9135911833264,10.4384616895835,21.829718947617,10.2063801133665,12.3169306931016,15.0969004576889,12.551387341816,13.1089625893183,13.4527173760749,11.754123767658,10.8053601240051,11.6314782190938,20.0557813069537,17.4799615098545,8.858372312328,9.18584406197684,11.1573119815496,20.6602811468005,21.9650685548057,15.5012849937855,13.3692276956475,17.7810626204596,14.2309265586084,10.6704131066865,14.9421686241232,13.8649227677752,14.6205536443222,11.0603519964374,11.427116184476,10.5912641345861,10.8721826400288,13.8628359271675,10.733756065981,17.3279610487869,8.38899983050328,10.1422905997346,11.4370290736782,9.5008530206358,15.9696024523122,12.6129655469341,11.6496583934547,10.4770791627294,19.7605416134217,17.8195854424945,13.7567443847664,16.0180606791497,13.0278300029123,15.2232946844134,12.0309731975738,11.9874282501894,10.7009556989633,Healthy
