source_hgnc_id	source_hgnc_symbol	relation	target_hgnc_id	target_hgnc_symbol	stmt_hash	evidence_count	source_counts
583	APC	IncreaseAmount	9718	PXN	2565455523558701	1	"{""reach"": 1}"
3338	CTTN	IncreaseAmount	9718	PXN	-9561402730584115	1	"{""reach"": 1}"
28611	RICTOR	DecreaseAmount	9718	PXN	-5996171571386681	1	"{""reach"": 1}"
12665	VCL	IncreaseAmount	9718	PXN	-420900636349270	2	"{""reach"": 2}"
12401	TTK	DecreaseAmount	9718	PXN	16672183175132540	1	"{""reach"": 1}"
11148	FSCN1	DecreaseAmount	9718	PXN	-30069851073467160	1	"{""reach"": 1}"
14064	HDAC6	IncreaseAmount	7733	NEDD9	21949392821009072	1	"{""reach"": 1}"
11393	AURKA	IncreaseAmount	7733	NEDD9	24845720525585500	1	"{""reach"": 1}"
9077	PLK1	DecreaseAmount	1101	BRCA2	1327316456288472	3	"{""medscan"": 3}"
11393	AURKA	IncreaseAmount	1101	BRCA2	-33793462747498088	1	"{""reach"": 1}"
11393	AURKA	DecreaseAmount	1101	BRCA2	-33646178053175913	2	"{""reach"": 2}"
17848	STK38L	DecreaseAmount	6514	LATS1	-17499454272856126	1	"{""reach"": 1}"
10251	ROCK1	IncreaseAmount	6514	LATS1	2865360725212105	1	"{""reach"": 1}"
659	ARF6	DecreaseAmount	6324	KIF5B	17904260771669147	1	"{""reach"": 1}"
659	ARF6	IncreaseAmount	6324	KIF5B	-31580928174635929	1	"{""reach"": 1}"
6217	KATNB1	IncreaseAmount	6216	KATNA1	-21704092229547029	1	"{""signor"": 1}"
3155	ECT2	IncreaseAmount	9804	RACGAP1	-28543502985809584	1	"{""reach"": 1}"
1722	CDK1	DecreaseAmount	1728	CDC27	21574565922300537	3	"{""medscan"": 3}"
13584	FBXO5	DecreaseAmount	1728	CDC27	31038703693000835	1	"{""reach"": 1}"
7765	NF1	DecreaseAmount	14193	ARHGEF12	-21198438015566682	1	"{""biopax"": 1}"
11370	STAU1	DecreaseAmount	1857	CENPF	-27679691777949417	1	"{""reach"": 1}"
6058	INCENP	IncreaseAmount	9077	PLK1	26450287868184815	1	"{""reach"": 1}"
593	BIRC5	IncreaseAmount	9077	PLK1	17610487115344466	1	"{""reach"": 1}"
3155	ECT2	IncreaseAmount	9077	PLK1	20512431439865453	1	"{""reach"": 1}"
1722	CDK1	IncreaseAmount	9077	PLK1	-11884058876444610	5	"{""reach"": 4, ""isi"": 1}"
1722	CDK1	DecreaseAmount	9077	PLK1	21370045792376053	3	"{""medscan"": 3}"
14013	SMC4	IncreaseAmount	9077	PLK1	9345204013163143	1	"{""reach"": 1}"
1249	TPX2	IncreaseAmount	9077	PLK1	-1762485013899141	1	"{""reach"": 1}"
12362	TSC1	IncreaseAmount	9077	PLK1	14720960852776551	2	"{""reach"": 2}"
12362	TSC1	DecreaseAmount	9077	PLK1	-30160421561296816	2	"{""reach"": 2}"
1148	BUB1	IncreaseAmount	9077	PLK1	9002278615672582	1	"{""reach"": 1}"
1148	BUB1	DecreaseAmount	9077	PLK1	9588710070340635	1	"{""medscan"": 1}"
11393	AURKA	DecreaseAmount	9077	PLK1	-35173083549267153	1	"{""medscan"": 1}"
9077	PLK1	IncreaseAmount	13584	FBXO5	-498834252850820	1	"{""reach"": 1}"
9077	PLK1	DecreaseAmount	13584	FBXO5	14468188813089505	1	"{""reach"": 1}"
7745	NEK2	DecreaseAmount	1052	BIN1	-19570395847974913	1	"{""reach"": 1}"
76	ABL1	DecreaseAmount	12735	WASL	35527972733625582	1	"{""medscan"": 1}"
1736	CDC42	DecreaseAmount	12735	WASL	21862340678769161	1	"{""reach"": 1}"
1736	CDC42	IncreaseAmount	12735	WASL	-5386149501696758	3	"{""reach"": 3}"
14064	HDAC6	DecreaseAmount	7579	MYH9	-9467293625930943	1	"{""reach"": 1}"
12303	TRIO	IncreaseAmount	7579	MYH9	-20083554314046515	2	"{""reach"": 2}"
9077	PLK1	DecreaseAmount	7745	NEK2	-25202743252975003	1	"{""medscan"": 1}"
1859	CEP250	DecreaseAmount	7745	NEK2	22047657498830487	1	"{""medscan"": 1}"
11989	TOP2A	IncreaseAmount	1580	CCNB2	-18723817210507628	3	"{""reach"": 3}"
9718	PXN	IncreaseAmount	12665	VCL	24606142663670758	1	"{""reach"": 1}"
14064	HDAC6	IncreaseAmount	682	ARHGEF2	-26109300984716689	1	"{""reach"": 1}"
994	BCL2L11	IncreaseAmount	593	BIRC5	-9882315665966890	1	"{""reach"": 1}"
994	BCL2L11	DecreaseAmount	593	BIRC5	14237659153955689	1	"{""reach"": 1}"
9077	PLK1	IncreaseAmount	593	BIRC5	3623192940036485	1	"{""reach"": 1}"
9077	PLK1	DecreaseAmount	593	BIRC5	15605236783290191	7	"{""medscan"": 5, ""reach"": 2}"
9341	PRC1	IncreaseAmount	593	BIRC5	-5647092009422829	1	"{""reach"": 1}"
