DHX15_HUMAN,G3P_HUMAN,HSPB1_HUMAN,ENOA_HUMAN,NPM_HUMAN,HS90A_HUMAN,HNRPC_HUMAN,HS90B_HUMAN,ANXA5_HUMAN,H14_HUMAN,CH60_HUMAN,KPYM_HUMAN,ENPL_HUMAN,PGAM1_HUMAN,NUCL_HUMAN,RL13_HUMAN,CALR_HUMAN,S10AB_HUMAN,MYH10_HUMAN,RBMX_HUMAN,LPPRC_HUMAN,RL28_HUMAN,SYAC_HUMAN,HNRPM_HUMAN,RS23_HUMAN,TYB10_HUMAN,RS4X_HUMAN,H4_HUMAN,RL23_HUMAN,HNRPU_HUMAN,PSME1_HUMAN,EF1A1_HUMAN,PARK7_HUMAN,BioReplicate
9.91081832353895,,9.61108496445178,,10.8155302158522,10.3082505791081,9.5949378187706,11.1147594791857,7.85432687603721,11.6551691030047,10.6498588919887,,9.0923521856618,10.5891759480397,10.9791436218567,11.3752600499116,9.77076002379686,9.85139297091388,8.00705833968177,9.79059952830285,9.13227547035429,11.0505825292415,9.05808741322629,,10.9724485612728,13.7183051149987,10.3792953621738,11.8074086485554,10.6637454158797,10.3731503916042,,,,0
,11.1077176054181,11.6077559893455,11.755212780154,12.4616295774798,11.0688072145082,11.01899941963,11.6712315299037,11.0241882971339,12.2142735132257,11.6625258460553,10.5994337805459,11.1258884525426,11.4642701548828,12.0245734261525,11.8005709675602,11.0013748953379,11.6374927452896,,11.0770449815478,10.1346075407786,12.3125048700962,10.0769592343703,11.0814924909798,11.6142112814989,14.443942086441,11.4134048861889,12.5788751824226,12.1917562161992,,,11.035907800135,,0
8.31600174184717,,9.42999782152323,10.4083012263088,10.8677875420974,,9.62374844373139,10.2113458011217,,11.0186445936312,9.59401499762237,,9.22782720011113,10.0840619791293,10.3567965292394,,9.41222530651167,9.56570641348365,8.34198859947042,9.76548297223724,,,8.69296880359391,9.95802560198837,9.88461993507753,12.204770578296,9.68331167135046,10.907145920039,10.633473612466,9.93926196530321,,10.1427899516092,,0
8.43487015448378,5.60465390029974,,8.46804495944502,8.53416623534441,8.49293410320346,7.17371475501453,9.47068239911447,8.39444110496815,10.3924193432487,7.89243980203235,8.21933438534431,,9.96572476925999,,8.34663005469598,,,,7.4142868036449,7.94206593667817,,8.56428537709329,,10.7527684101808,,9.01025987134628,,9.54222340200258,6.97348098179122,,,,0
,9.46268961816589,10.2469933072338,11.2116932107116,11.163652253479,10.5488230641966,,11.2387462696083,,11.4938206649204,,,9.48282838534336,10.7903551028191,11.6008432704135,10.9924902644129,9.86601064523344,10.1728377151673,8.79272785889685,10.2498025428176,8.84312413561594,11.6584554627248,8.8579682694018,10.4315471097729,11.6300351134526,,,11.6452130596061,10.7552746977857,,,9.54524807391934,10.3911351617115,0
9.86143320847788,,,11.405280558855,11.1472014572966,11.1332368839408,10.6710009077115,11.657352828385,10.0727876339394,11.7875438254994,11.0462289452762,,,12.2825469082066,,11.4901398143682,9.8551214876614,10.4489662444397,,11.0175789037463,,11.9330797827088,10.312090155937,10.8968442819524,12.5095053830324,14.0458864046335,10.9374228429414,11.6555135249031,11.7871996250924,10.8169798790031,,9.90972641874026,10.8708447500295,0
8.7363977552829,,10.0445014700323,10.3071451529626,10.9934167252914,9.67894082979747,9.49396946239381,10.7834397370991,,,9.03366478948127,9.07050699452144,9.74724530921621,10.6977525950055,11.1024636079211,10.9161555156811,9.56383665458145,10.5945825400322,8.92718914321909,9.6858450195628,9.23085914300636,,9.03481951431566,,,13.8416334240105,9.37166921518138,10.3637585523576,10.7185818498724,10.6511495159588,,,10.043265191554,0
8.71278088342957,,,10.6458417143375,,10.2052353319162,9.94608943299432,10.6398865032776,8.61089755906166,11.4007053247799,10.1429089972105,9.58466102058661,,10.7738025344864,11.1198806439034,10.3843267635356,10.1520280060292,10.7534375785442,8.31843836816424,,,10.7060135116216,9.3883621061862,,,13.5880396845537,9.47968838213381,11.0157446947746,10.9618073155761,,8.21561446036914,10.3484156926532,9.93192555569635,0
10.3648629992245,,,11.5615452902666,11.2352545154888,11.2101801319739,11.2336086147259,12.5167584192924,9.92669691328705,10.20669175979,,,10.4029154051058,11.992700130921,12.147804562206,11.8370132115918,10.7294525682383,11.2700604499046,9.42684439687022,11.2994335312078,9.7676231889555,,,11.2342414382491,12.3403530624591,15.0191126668011,11.6317550522644,12.452148791597,11.8309525260618,11.229319278535,,11.1502908767712,,0
9.34414929633281,,10.7397612810315,10.9069700291742,10.9816409211995,10.5752981473822,10.5861062524397,11.7387754636829,9.28778387298708,11.567495824654,10.279555345205,10.9407137236958,10.0548762108521,11.5844973384663,11.2898930954083,11.289698524604,,10.5931647110352,,10.3455905539992,,11.278523947613,10.6152057728584,,12.2497284237373,14.5899282044508,10.8188525116626,11.9109356552614,,10.8439618023693,9.73427804070127,,10.6594574829306,0
