DHX15_HUMAN,G3P_HUMAN,HSPB1_HUMAN,ENOA_HUMAN,NPM_HUMAN,HS90A_HUMAN,HNRPC_HUMAN,HS90B_HUMAN,ANXA5_HUMAN,H14_HUMAN,CH60_HUMAN,KPYM_HUMAN,ENPL_HUMAN,PGAM1_HUMAN,NUCL_HUMAN,RL13_HUMAN,CALR_HUMAN,S10AB_HUMAN,MYH10_HUMAN,RBMX_HUMAN,LPPRC_HUMAN,RL28_HUMAN,SYAC_HUMAN,HNRPM_HUMAN,RS23_HUMAN,TYB10_HUMAN,RS4X_HUMAN,H4_HUMAN,RL23_HUMAN,HNRPU_HUMAN,PSME1_HUMAN,EF1A1_HUMAN,PARK7_HUMAN,BioReplicate
9.663008073,10.57488959,10.61996508,12.21164643,12.35711288,10.68035754,10.03934865,10.93385742,11.5057312,11.65603836,10.11948676,10.67125305,10.83052505,11.34681045,11.64670349,11.94536563,10.13431727,10.12068115,10.09551819,10.39471467,9.123725785,11.5151327,10.12771395,10.87931483,10.76280617,11.8693882,10.63281432,12.74020906,11.47121486,11.24860823,8.311815022,11.64650578,10.54670969,1
9.278386903,9.823875471,10.59886242,11.69410718,12.36555643,10.22113088,10.23320285,10.92917828,11.21598181,9.489766968,10.84938481,10.68717301,10.93127092,11.39984816,11.50450429,11.88426387,10.08335044,9.992962875,10.0820197,10.72641177,9.629174055,11.52104961,9.947819764,10.69959345,11.40760904,12.43979689,10.68420603,12.24187133,11.38268276,11.21963743,8.739530485,10.434142,10.35623106,1
9.536827493,10.46000585,10.90099466,12.19648147,12.70166332,11.00767578,10.43445996,11.04764838,11.52708672,11.94326346,10.55795521,10.58581087,10.52156953,11.79951409,11.90875762,11.91085386,9.963269606,9.819422586,10.20873778,10.90843209,9.606364352,11.3974771,10.5679517,10.99855544,11.58923637,12.89143115,10.56749045,12.52155216,11.30624594,11.46696923,9.377476151,11.17927432,10.73868858,1
9.032669519,9.597349496,10.70922105,11.25018715,11.97109586,10.29274369,10.1628021,10.54062712,11.20025167,11.23333066,9.967616996,10.12136984,10.4927751,11.49086266,11.45529578,11.91887756,9.687992761,9.535246597,9.377590008,10.66949528,9.212361956,11.25756329,10.43618963,10.69666621,11.03497716,11.99750888,10.46055671,11.32046921,11.33877099,10.91360807,8.836682046,10.200132,10.32664414,1
9.156596387,9.835147551,10.32776352,11.68873442,11.94035442,10.35558796,9.774164937,10.54770483,10.66089984,11.12375263,9.643908385,9.821629437,10.00232516,11.3447123,11.32688638,11.39371293,9.618556623,9.430087448,9.759299802,10.27431681,8.912933472,10.71603225,9.779790649,10.2566923,10.85897309,11.82893051,10.09758295,11.909534,10.9354048,10.46794383,8.436063479,10.85927857,10.30299964,1
8.348358959,8.515919512,9.426169871,10.14288633,10.33730545,9.161138104,9.154142378,9.765009472,8.243490752,10.14506825,9.291561153,8.92022967,9.367421091,9.992562927,10.38751891,10.48737416,9.231544247,8.833095735,8.362839251,9.632186024,8.331951395,9.90787245,8.708030653,9.493896962,10.05238419,13.00022987,9.356639201,11.21028012,10.20919155,9.991723672,7.884659318,9.537220951,9.437485601,0
9.375730693,10.16951541,10.76467899,11.17968605,11.8891252,10.37366816,10.47775943,11.49980465,10.66003502,11.63852459,10.85488355,10.41583854,10.3401036,11.0654531,11.64737569,11.59753483,10.16184983,10.84989823,8.95497909,10.48927192,9.202322585,11.3063365,9.432912366,10.72723265,11.06235684,14.32976841,10.40427445,12.36234166,11.31541327,10.93726592,8.72508902,10.90158098,10.60008866,0
8.316001742,8.791091455,9.429997822,10.40830123,10.86778754,9.028319393,9.623748444,10.2113458,8.911016211,11.01864459,9.594014998,8.969825159,9.2278272,10.08406198,10.35679653,10.4497869,9.412225307,9.565706413,8.341988599,9.765482972,8.180621046,10.16065016,8.692968804,9.958025602,9.884619935,12.20477058,9.683311671,10.90714592,10.63347361,9.939261965,7.659633501,10.14278995,9.576980012,0
7.233868913,8.093303856,9.000508886,9.979367275,10.14077265,8.363981521,9.100645348,9.626231766,8.236249305,10.66736415,9.04947263,8.543661195,8.436012,9.74078618,9.724593079,10.07780054,9.04329944,9.309746713,7.363522619,9.431769425,7.660543105,10.09181658,8.535983867,9.441216617,9.801150433,12.0556573,8.679147055,11.11139863,9.554825162,9.590648923,7.330979922,10.27263558,8.654262713,0
8.139769919,8.687077725,9.170321317,10.03988625,10.47496006,9.356712616,9.233010914,9.872628135,8.057359832,10.87622253,9.621823546,8.948224529,8.850252156,9.987752958,10.40866553,10.3418473,9.143030273,9.488317054,8.424269297,9.217276041,8.097444821,9.930261967,8.47445512,9.882091877,10.29484636,12.43777927,9.288342497,11.23758138,9.698688791,9.694230859,7.512100836,9.784781529,8.696945998,0
9.338066564,9.259457737,10.53616654,11.12564914,11.77792103,10.01428755,10.27307582,11.4786452,9.768923655,11.73941706,10.25698602,9.716904561,9.811367944,10.9069433,11.17342148,11.2906778,10.44613375,10.27842161,9.530466887,10.57716784,9.503743679,10.96355719,10.07184689,10.72173112,11.22658881,13.5360775,10.14750012,11.81984443,11.08408442,10.46886816,8.920508107,10.49886332,9.87716437,0
9.650440989,11.16923198,11.52558796,12.2100332,12.26038433,11.37492677,10.93572204,11.21859288,11.79213758,12.14911745,11.44636111,10.68374602,11.18487036,12.20066663,12.10945525,12.15486603,10.62538901,11.20735122,10.53295285,11.13358918,10.46499884,12.39847675,10.69206316,11.30354854,11.94892089,12.54772635,11.49013154,12.44808929,12.19187986,11.67840208,9.670856349,11.83814653,11.10928544,1
10.22475086,11.32291159,11.37362546,12.18606387,12.78905291,11.87402599,11.06087907,11.84123901,12.08875795,11.79413977,11.43481769,10.80545805,11.62995194,12.32311168,12.23335463,12.07417588,10.57806675,11.09343193,10.37849452,11.32528755,10.32154541,12.36614929,11.19551587,11.2964178,11.94300437,12.84361664,11.042976,12.31260219,12.43757008,11.75206906,10.06547678,11.60404129,11.10200231,1
8.928151681,10.6623316,10.53715239,12.08558792,11.94828823,10.83720415,10.03462047,10.40519287,11.58240625,11.25913095,11.03963332,10.68503163,10.41756178,11.44528083,11.52403791,11.29819053,9.77428062,10.58054678,9.61658457,10.32389772,9.95614889,11.7757212,10.6066035,10.3005425,10.71536095,12.31766434,10.42751222,11.81759694,11.38690385,11.0672293,8.832318345,10.89508103,10.36331925,1
